Recharge Interpretation,Pumping Scenario,IN recharge,OUT storage,OUT wells,OUT drains,Total OUT,IN - OUT,% Discrepancy
rchTRBAR,Baseline,22089252864,8262044672,1615246464,21146077184,31023368192,-133658624,-0.43
,6fdcef09bf9a802fb65dda4e10eb2499,22088599552,8267400192,1970073472,20828669952,31066142720,-135124992,-0.44
,8e27df88a35bcb03332e7ac2e04128d0,22058754048,8245810176,2995479552,19871858688,31113148416,-134473728,-0.43
,7458103f9f1a751cb28eeddf7f06ae08,22089252864,8265366528,2048397952,20760690688,31074455552,-135151616,-0.44
,c33727521a6dce8dc0463f31b2012dc5,22058592256,8247438336,3128311040,19750082560,31125831680,-134201344,-0.43
,cec44f31f5105436cf1d909be44ee7ed,22089252864,8265245696,2050291968,20758163456,31073701888,-135104512,-0.44
rchTRMAC,Baseline,35515797504,11544693760,1615246464,33581748224,46741688320,-102526976,-0.22
,6fdcef09bf9a802fb65dda4e10eb2499,35515797504,11545321472,2034156288,33198555136,46778032128,-103272448,-0.22
,8e27df88a35bcb03332e7ac2e04128d0,35515797504,11540997120,3059655680,32247781376,46848434176,-101613568,-0.22
,7458103f9f1a751cb28eeddf7f06ae08,35515797504,11545355264,2048397952,33184428032,46778179584,-102137856,-0.22
,c33727521a6dce8dc0463f31b2012dc5,35515797504,11540855808,3192504832,32124964864,46858326016,-101363712,-0.22
,cec44f31f5105436cf1d909be44ee7ed,35515797504,11545111552,2050291968,33183172608,46778576896,-103141376,-0.22
rchTRNAT,Baseline,34424774656,11501353984,1615246464,32551221248,45667823616,105140224,-0.23
,6fdcef09bf9a802fb65dda4e10eb2499,34424774656,11501894656,2034156288,32165353472,45701402624,-102981632,-0.23
,8e27df88a35bcb03332e7ac2e04128d0,34424774656,11498590208,3059655680,31218214912,45776461824,-104525824,-0.23
,7458103f9f1a751cb28eeddf7f06ae08,34424774656,11501425664,2048397952,32152748032,45702569984,-103395328,-0.23
,c33727521a6dce8dc0463f31b2012dc5,34424774656,11498484736,3192504832,31096111104,45787099136,-104960000,-0.23
,cec44f31f5105436cf1d909be44ee7ed,34424774656,11501573120,2050291968,32150173696,45702037504,-103075840,-0.23
rchTROLD,Baseline,1163338112,199572384,264312896,2095389824,2559275008,-37854208,-1.49
,6fdcef09bf9a802fb65dda4e10eb2499,1160954624,197321216,327240512,2046358400,2570920192,-37761792,-1.48
,8e27df88a35bcb03332e7ac2e04128d0,1155956992,184544144,473613664,1911161472,2569319168,-37624320,-1.48
,7458103f9f1a751cb28eeddf7f06ae08,1163300480,197466000,330545600,2058969216,2586980864,-38085120,-1.48
,c33727521a6dce8dc0463f31b2012dc5,1155692672,182835200,492172736,1893531136,2568539136,-37883648,-1.49
,cec44f31f5105436cf1d909be44ee7ed,21601177600,8912916480,1994848640,20699185152,31606949888,-117946368,-0.37